parent_plate,parent_well_index,parent_well,solution_id,replicate,plate_control,plate_blank,control_type,strain,environment,plate_name
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,11,A11,plate_control,1,True,False,plate_control,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,12,A12,plate_control,5,True,False,plate_control,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,13,A13,expt96_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,14,A14,expt75_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,15,A15,expt39_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,16,A16,plate_control,3,True,False,plate_control,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,17,A17,expt97_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,18,A18,expt32_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,19,A19,plate_blank,1,False,True,plate_blank,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,20,A20,expt26_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,21,A21,expt86_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,22,A22,expt95_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,23,A23,plate_blank,4,False,True,plate_blank,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,24,A24,expt35_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,25,B1,expt93_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,26,B2,expt53_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,27,B3,expt99_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,28,B4,expt81_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,29,B5,expt49_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,30,B6,expt40_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,31,B7,plate_blank,3,False,True,plate_blank,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,32,B8,expt27_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,33,B9,expt83_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,34,B10,plate_blank,2,False,True,plate_blank,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,35,B11,expt43_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,36,B12,expt94_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,37,B13,expt45_pH::5,1,False,False,,P_putida_AG5577,pH5,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,49,C1,expt55_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,50,C2,plate_control,1,True,False,plate_control,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,51,C3,plate_control,5,True,False,plate_control,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,52,C4,expt65_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,53,C5,plate_blank,5,False,True,plate_blank,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,54,C6,expt72_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,55,C7,expt10_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,56,C8,expt50_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,57,C9,expt59_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,58,C10,expt80_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,59,C11,expt73_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,60,C12,expt92_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,61,C13,expt47_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,62,C14,plate_blank,4,False,True,plate_blank,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,63,C15,expt44_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,64,C16,expt30_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,65,C17,expt48_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,66,C18,expt66_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,67,C19,o2_control_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,68,C20,expt21_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,69,C21,expt1_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,70,C22,expt8_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,71,C23,plate_control,4,True,False,plate_control,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,72,C24,expt20_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,73,D1,plate_control,3,True,False,plate_control,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,74,D2,plate_control,2,True,False,plate_control,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,75,D3,expt78_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,76,D4,expt25_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,77,D5,expt67_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,78,D6,expt42_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,79,D7,plate_blank,2,False,True,plate_blank,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,80,D8,expt16_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,81,D9,plate_blank,1,False,True,plate_blank,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,82,D10,expt74_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,83,D11,expt100_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,84,D12,expt77_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,85,D13,expt33_pH::7,1,False,False,,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,86,D14,plate_blank,3,False,True,plate_blank,P_putida_AG5577,pH7,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,97,E1,expt12_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,98,E2,expt2_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,99,E3,expt9_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,100,E4,expt84_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,101,E5,expt70_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,102,E6,expt82_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,103,E7,expt76_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,104,E8,expt3_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,105,E9,expt13_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,106,E10,expt28_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,107,E11,expt85_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,108,E12,expt71_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,109,E13,expt29_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,110,E14,expt46_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,111,E15,plate_blank,2,False,True,plate_blank,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,112,E16,expt15_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,113,E17,plate_control,5,True,False,plate_control,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,114,E18,expt68_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,115,E19,plate_control,4,True,False,plate_control,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,116,E20,expt88_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,117,E21,plate_control,3,True,False,plate_control,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,118,E22,expt19_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,119,E23,expt4_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,120,E24,expt51_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,121,F1,expt11_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,122,F2,expt91_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,123,F3,expt18_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,124,F4,expt56_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,125,F5,expt14_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,126,F6,plate_blank,4,False,True,plate_blank,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,127,F7,expt37_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,128,F8,expt17_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,129,F9,expt90_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,130,F10,plate_control,2,True,False,plate_control,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,131,F11,plate_blank,5,False,True,plate_blank,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,132,F12,expt62_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,133,F13,expt38_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,134,F14,plate_blank,3,False,True,plate_blank,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,135,F15,expt24_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,136,F16,plate_blank,1,False,True,plate_blank,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,137,F17,expt6_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,138,F18,expt69_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,139,F19,expt54_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,140,F20,expt58_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,141,F21,expt64_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,142,F22,expt89_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,143,F23,plate_control,1,True,False,plate_control,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,144,F24,expt34_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,145,G1,expt22_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,146,G2,expt63_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,147,G3,expt52_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5,148,G4,o2_control_pH::9,1,False,False,,P_putida_AG5577,pH9,Plate_Round4_1$fb9f128094aa69c955191df2bde631ebbdbe55c5
